id,app,category,website_hint,one_line_description,auth_methods,auth_summary,access_model,access_notes,api_surface_type,api_surface_breadth,api_surface_summary,mcp_status,existing_mcp_url,buildability_verdict,main_blocker,evidence_urls,confidence,agent_notes,verified,verification_notes
45,Magento / Adobe Commerce,Ecommerce,developer.adobe.com/commerce,Open-source (Magento Open Source) and commercial (Adobe Commerce) ecommerce platform with REST and GraphQL web APIs.,Bearer token; OAuth2,"Self-hosted Magento/Adobe Commerce supports token-based auth (admin/customer bearer tokens) and admin-created 'Integrations' that generate consumer key/secret + access token pairs signed with OAuth 1.0a (not OAuth2). Adobe Commerce as a Cloud Service instead uses OAuth2 via Adobe IMS, including server-to-server flows.",self_serve,"Anyone can run Magento Open Source for free and create integration/admin tokens in the admin panel self-serve; Adobe Commerce (paid product) works the same way per instance, while the newer Cloud Service requires an Adobe org and IMS-based OAuth2 credentials.",REST_and_GraphQL,broad,"REST and GraphQL APIs cover catalog, carts/checkout, orders, customers, inventory, CMS, promotions, and admin configuration — several hundred REST routes.",community_mcp,https://github.com/thomastx05/magento-mcp,build_now,none,https://developer.adobe.com/commerce/webapi/get-started/authentication/; https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-token; https://developer.adobe.com/commerce/webapi/rest/; https://developer.adobe.com/commerce/webapi/rest/authentication/; https://github.com/thomastx05/magento-mcp,high,"Auth is fragmented across editions: legacy OAuth 1.0a integrations (not in the allowed enum; noted here), plain bearer admin tokens, and OAuth2/IMS only for the new Cloud Service. Like WooCommerce, connections are per-instance (user supplies their own base URL + token). Multiple community MCP servers exist (magento-mcp, magemcp, Codexpect, CData); no Adobe-official MCP found.",False,
46,Squarespace,Ecommerce,developers.squarespace.com,"Website builder with ecommerce features and Commerce APIs for orders, products, and inventory.",API key; OAuth2,"Requests use a Bearer header carrying either a site-scoped API key (generated in site Settings > Advanced > Developer API Keys, non-expiring) or an OAuth2 access token (30-minute expiry, 7-day refresh tokens) for registered OAuth clients.",paid_plan_required,API key generation requires the merchant site to be on the Commerce Advanced plan. OAuth client registration is not self-serve: you submit a form and Squarespace reviews the registration before issuing client_id/client_secret.,REST,medium,"Commerce APIs cover orders, products, inventory, transactions, profiles, and webhooks; there is no comparable public API for general site content/pages.",community_mcp,https://github.com/BusyBee3333/squarespace-mcp-2026-complete,build_with_limits,"API keys require the merchant's Commerce Advanced plan, and multi-tenant OAuth requires a reviewed client registration with short-lived tokens.",https://developers.squarespace.com/commerce-apis/authentication-and-permissions; https://developers.squarespace.com/commerce-apis/oauth; https://developers.squarespace.com/commerce-apis/overview; https://github.com/BusyBee3333/squarespace-mcp-2026-complete,high,"Buildable today via user-supplied API keys, but only for merchants on the top-tier commerce plan; the OAuth path requires Squarespace's manual review of the client registration. API surface is commerce-only and narrower than Shopify/BigCommerce. Only community MCP found (unofficial GitHub repo).",False,
47,Ecwid,Ecommerce,api-docs.ecwid.com,"Embeddable ecommerce platform (Ecwid by Lightspeed) that adds a store to any website, with a REST API.",OAuth2; Bearer token,"Public apps use OAuth2 (code exchanged via POST to my.ecwid.com/api/oauth/token) to obtain access tokens; every app also has non-expiring private (read/write) and public (read-only) access tokens, sent as Bearer tokens. Store owners integrating their own store can skip the OAuth flow and use the token directly.",self_serve,Developers register an app via the Ecwid developer portal and get tokens self-serve; installing on your own store yields an access token immediately. REST API access generally requires the store to be on a paid Ecwid plan.,REST,broad,"REST API covers products, categories, orders, customers, discount coupons, store profile/settings, and webhooks.",community_mcp,https://github.com/ever-works/awesome-mcp-servers/blob/master/details/ecwid-mcp-server.md,build_now,none,https://docs.ecwid.com/api-reference; https://github.com/Ecwid/ecwid-api-docs/blob/master/includes/_authentication.md; https://developers.ecwid.com/api-documentation/authentication; https://docs.ecwid.com/get-started/make-your-first-api-request,high,Docs have migrated from api-docs.ecwid.com to docs.ecwid.com. Only community MCP presence found (a Pipedream-powered Ecwid MCP listed in an awesome-mcp-servers registry); no vendor MCP. The paid-plan requirement for API access is a common caveat I could not re-confirm from the current official docs in this pass — flagging as minor uncertainty.,False,
48,Gumroad,Ecommerce,gumroad.com/api,"Platform for creators to sell digital products, memberships, and licenses directly to audiences.",OAuth2; Personal access token,"The v2 API uses OAuth2 (create an application, exchange code at api.gumroad.com/oauth/token) for multi-account apps; for your own account you can self-generate a non-expiring access token from the application settings and send it with each request.",self_serve,Fully self-serve: any Gumroad user can create an application in their account settings and generate an access token immediately; no review process for API access.,REST,narrow,"Seller-focused REST API covering products, sales, subscribers, offer codes, custom fields, license verification, and resource subscriptions (webhooks); no buyer/checkout-creation API.",community_mcp,https://github.com/rmarescu/gumroad-mcp,build_now,none,https://gumroad.com/api; https://gumroad.com/help/article/280-create-application-api; https://github.com/rmarescu/gumroad-mcp; https://github.com/keithah/gumroad-mcp,high,"Simple, stable, self-serve API but a small surface (mostly read/analytics plus license verification and webhooks). Multiple community MCP servers exist; no official Gumroad MCP found.",False,
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api,"Amazon's SP-API for sellers and vendors to programmatically manage listings, orders, inventory, fulfillment, and reports on Amazon marketplaces.",OAuth2,Authorization is OAuth2 via Login with Amazon (LWA): registered applications obtain LWA access tokens (1-hour expiry) on behalf of authorizing selling partners; restricted operations returning PII additionally require Restricted Data Tokens. LWA client secrets rotate every 180 days.,partner_gated,"You must register as an SP-API developer (via a Professional seller/vendor account in Seller/Vendor Central) and have your developer profile approved before creating an app and getting LWA credentials; access to restricted/PII roles requires additional Amazon review, and public apps go through the Selling Partner Appstore authorization workflow.",REST,broad,"Dozens of REST API sections: orders, listings, catalog, FBA inventory and fulfillment, feeds, reports, finances, shipping, notifications, Data Kiosk analytics, and more.",official_mcp,https://github.com/amzn/selling-partner-api-samples,needs_partner_or_paid_access,Developer registration and profile approval through a Professional selling account gate all credentials; PII-restricted roles need extra vetting.,https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications; https://developer.amazonservices.com/start; https://github.com/amzn/selling-partner-api-samples; https://github.com/amzn/selling-partner-api-samples/discussions/131,high,"Amazon has published official MCP tooling in its selling-partner-api-samples repo (sp-api-dev-mcp npm package and a Data Kiosk MCP server), though these are developer-tool/sample oriented rather than a hosted production MCP; several community/hosted SP-API MCP servers also exist. Note the older AWS SigV4 signing requirement has been dropped for most operations in favor of pure LWA tokens, but an AWS account is still referenced in parts of the docs.",False,
50,fanbasis,Ecommerce,fanbasis.com,"Payments and monetization platform for creators and coaching/info businesses: checkouts, subscriptions, and payouts.",API key,"The FanBasis API reference (apidocs.fan) documents API-key-only authentication: every request must include the key in an x-api-key header, with separate sandbox and production keys. No OAuth or other flows are documented.",self_serve,"Per the docs, developers copy their API key from the API Keys section of the FanBasis dashboard — self-serve once you have a FanBasis account (which itself involves onboarding as a creator/business on the platform). A second docs portal (dev-docs.fanbasis.com) is login-gated.",REST,medium,"REST API plus webhooks covering checkout sessions, payments/transactions, subscriptions (renewals, cancellations), customers and saved payment methods, discounts, disputes, and refunds; ~13 webhook event types. A Node checkout SDK (@fanbasis/checkout-sdk) exists on npm.",no_mcp_found,,build_with_limits,"Small, payments-focused API from a young vendor; primary developer portal is login-gated, and getting an account (and thus a key) requires being onboarded as a FanBasis merchant.",https://apidocs.fan/; https://dev-docs.fanbasis.com/; https://www.npmjs.com/package/@fanbasis/checkout-sdk; https://zapier.com/apps/fanbasis/integrations; https://zapier.com/mcp/fanbasis,medium,"Contrary to the expectation of little/no public API, FanBasis does have a public REST API reference at apidocs.fan (API-key auth, payments/subscriptions/webhooks) and a Zapier integration. Confidence is medium because the main dev-docs.fanbasis.com portal is gated, the apidocs.fan domain's official status is inferred, and there is no way to verify credential issuance without a merchant account. No MCP server found anywhere.",True,Manually verified in QA sample; no corrections needed.
51,DataForSEO,"Data, SEO and Scraping",docs.dataforseo.com,"Pay-as-you-go SEO data APIs covering SERPs, keywords, backlinks, on-page audits, and domain analytics.",Basic auth,"Basic authentication only: API login (account email) plus an auto-generated API password, Base64-encoded in the Authorization header. Docs explicitly state Basic auth is the only way to access the API and credentials cannot be passed as URL parameters.",self_serve,Self-serve registration; API credentials (login + auto-generated API password) are issued with the account. Usage is billed via a pay-as-you-go credit balance rather than a subscription.,REST,broad,"REST API v3 with many modules: SERP, Keywords Data, Backlinks, OnPage, DataForSEO Labs, Business Data, Domain Analytics, Content Analysis, AI Optimization, and Merchant.",official_mcp,https://github.com/dataforseo/mcp-server-typescript,build_now,none,https://docs.dataforseo.com/v3/auth/; https://dataforseo.com/model-context-protocol; https://github.com/dataforseo/mcp-server-typescript,high,"Very clean target: single documented auth method, broad documented REST surface, official vendor MCP (npm dataforseo-mcp-server plus hosted endpoint mcp.dataforseo.com/mcp). Only real caveat is that all calls consume paid credits.",False,
52,SE Ranking,"Data, SEO and Scraping",seranking.com/api,"SEO platform (rank tracking, backlinks, audits, keyword research) with a Data API and a Project API.",API key,"API key created in the account's API Dashboard, sent as 'Authorization: Token YOUR_API_KEY' (or a token parameter). One key authenticates both the Data API and Project API.",paid_plan_required,"Fetched official 'Getting API access' page: all current paid plans (Essential, Pro, Business, Core, Growth, Enterprise) include Data API access with monthly credit allowances (10k-100k); keys are self-generated from the API Dashboard once subscribed. No free API tier documented.",REST,broad,"Two REST APIs: Data API (keyword/SERP data, backlinks, website audit, etc., credit-metered) and Project API (manage projects/rankings against subscription limits). Rate limit 5 req/s.",official_mcp,https://seranking.com/api/integrations/mcp/,needs_partner_or_paid_access,API credentials require an active paid SE Ranking subscription; no free developer tier.,https://seranking.com/api/how-to-get-api/; https://seranking.com/api/data/getting-started/; https://seranking.com/api/integrations/mcp/,high,"Docs are open and clear; official MCP page exists in their API docs. Once a customer has any paid plan the integration itself is straightforward key-based auth, so this is buildable for paying users.",False,
53,Ahrefs,"Data, SEO and Scraping",ahrefs.com/api,"SEO toolset whose API v3 exposes backlink, keyword, rank-tracking, and site-audit data.",API key; Bearer token,"API keys are created in Account settings (workspace owners/admins only, up to 1,000 keys, 1-year lifetime) and sent as 'Authorization: Bearer YOUR_API_KEY'.",paid_plan_required,"Historically API v3 was Enterprise-only; multiple 2026 sources report API access with monthly API-unit allocations now included on Lite/Standard/Advanced paid plans (Starter and free excluded). Either way, a paid subscription is required to obtain a key.",REST,broad,"REST API v3 at docs.ahrefs.com covering the core Ahrefs dataset (Site Explorer/backlinks, keywords, rank tracker, site audit, management endpoints), metered in API units.",official_mcp,https://help.ahrefs.com/en/articles/13913559-getting-started-with-ahrefs-mcp,needs_partner_or_paid_access,"API keys are gated behind a paid Ahrefs subscription (formerly Enterprise-only; now reportedly Lite+), and usage consumes paid API units.",https://docs.ahrefs.com/docs/api/reference/api-keys-creation-and-management; https://docs.ahrefs.com/docs/api/reference/introduction; https://help.ahrefs.com/en/articles/6559232-about-api-v3-for-enterprise-plan; https://help.ahrefs.com/en/articles/13913559-getting-started-with-ahrefs-mcp; https://github.com/ahrefs/ahrefs-mcp-server,medium,"Auth mechanics confirmed from official docs via search. The exact plan threshold is in flux: official help center still frames API v3 around Enterprise, while 2026 third-party reports say all paid plans (Lite+) now get API units. Did not fetch the official pricing/plan matrix directly, so plan-gating details carry some uncertainty. Official Ahrefs MCP exists per their help center.",True,Manually verified in QA sample; no corrections needed.
54,MrScraper,"Data, SEO and Scraping",docs.mrscraper.com,AI-powered web scraping service with proxies and an API that extracts structured data from URLs via prompts.,API key; Bearer token,"API token obtained from the app Playground, passed via 'x-api-token' header (docs also show 'Authorization: Bearer' and a token query parameter).",self_serve,Self-serve: create a MrScraper account and grab the API key from the Playground at app.mrscraper.com/playground. Free-trial/free-tier specifics are not clearly documented; usage is credit-based.,REST,medium,"REST API at api.mrscraper.com: prompt-based AI scraping endpoints plus scrapers/extractors and vertical scrapers (e.g., Google), with n8n and similar integrations documented.",no_mcp_found,,build_now,none,https://docs.mrscraper.com/docs/getting-started/quickstart; https://docs.mrscraper.com/docs/getting-started/overview; https://docs.mrscraper.com/docs/features/activating-api,medium,"Fetched the official quickstart, which confirms REST + x-api-token auth and self-serve key from the Playground. No official or community MrScraper MCP server found (only a third-party Apify actor that uses the mrscraper engine internally). Pricing/free-tier details and full endpoint breadth not fully confirmed.",False,
55,Apify,"Data, SEO and Scraping",docs.apify.com,"Cloud platform for running web scraping and automation 'Actors', with thousands of prebuilt scrapers in its marketplace.",API key; Bearer token,"Personal API token from the Apify Console Integrations page, sent in the Authorization header (recommended) or as a ?token= query parameter; tokens support scoped permissions and expiration dates.",self_serve,"Self-serve signup at console.apify.com; API token is available immediately, and a free plan with monthly platform credits exists (paid plans scale usage).",REST,broad,"REST API v2 covering the whole platform: run/manage Actors, datasets, key-value stores, request queues, schedules, webhooks, users — plus per-Actor API endpoints and JS/Python API clients.",official_mcp,https://docs.apify.com/platform/integrations/mcp,build_now,none,https://docs.apify.com/api/v2; https://docs.apify.com/platform/integrations/api; https://docs.apify.com/platform/integrations/mcp,high,"One of the easiest builds in this set: self-serve token, broad documented REST API, official MCP server documented in Apify's own platform docs. Actor runs consume platform credits, but a free tier exists.",False,
56,Firecrawl,"Data, SEO and Scraping",firecrawl.dev,"API to scrape, crawl, map, search, and extract structured data from websites in LLM-ready formats.",API key; Bearer token,"API key (prefix 'fc-') from the Firecrawl dashboard, sent as 'Authorization: Bearer fc-YOUR-API-KEY'.",self_serve,"Self-serve signup at firecrawl.dev; API key visible in the dashboard immediately, with a free credit tier and paid credit plans. Also open source (AGPL core) and self-hostable.",REST,medium,"Focused REST API (v2): /scrape, /crawl, /map, /search, /extract endpoints returning markdown/structured JSON, plus official SDKs. Deep in scraping but a deliberately narrow domain.",official_mcp,https://github.com/firecrawl/firecrawl-mcp-server,build_now,none,https://docs.firecrawl.dev/api-reference/v2-introduction; https://github.com/firecrawl/firecrawl-mcp-server; https://github.com/firecrawl/firecrawl,high,Official MCP server maintained under the firecrawl GitHub org. Auth and endpoints confirmed from official docs domain via search; very standard Bearer API-key model. Usage consumes credits beyond the free tier.,False,
57,Bright Data,"Data, SEO and Scraping",brightdata.com,"Web data platform offering proxies, Web Unlocker, SERP API, scraper APIs, and prebuilt datasets.",API key; Bearer token,"API key (secure hashed token, auto-created on account creation; admins can mint more with permission levels and expiry) sent as a Bearer token for REST APIs. Separately, native proxy access uses proxy username/password credentials rather than the API key.",self_serve,"Self-serve signup; a default API key is created automatically and keys are managed in account settings. Pay-as-you-go pricing per product; the official MCP has a free tier (~5,000 credits/month, no credit card). Some products (e.g., residential proxies) involve KYC/compliance steps.",REST,broad,"Broad REST API surface at docs.brightdata.com: Web Unlocker, SERP API, Web Scraper APIs, dataset/marketplace endpoints, and proxy/account management.",official_mcp,https://github.com/brightdata/brightdata-mcp,build_now,none,https://docs.brightdata.com/api-reference/authentication; https://docs.brightdata.com/general/account/api-token; https://github.com/brightdata/brightdata-mcp,high,"Official vendor MCP (@brightdata/mcp on npm) with a genuinely free monthly tier. The product line is large, so a Composio toolkit would need scoping (Unlocker + SERP + scraper APIs are the natural core). Proxy user/pass auth is separate from the API-key path.",False,
58,Sherlock,"Data, SEO and Scraping",github.com/sherlock-project/sherlock,Open-source Python CLI that hunts for a username across 400+ social networks by probing public profile URLs.,None found,"No authentication at all: it is a local CLI tool, not a SaaS. It requires no API keys or logins for itself or for the sites it checks — it just requests public profile URLs and inspects responses.",self_serve,"Free and open source (pipx/pip install sherlock-project, git clone, or the official Docker image). No account, credentials, or vendor relationship involved.",CLI,narrow,"Single-purpose CLI: given username(s), it checks 400+ sites and reports where the handle exists, with flags for timeouts, output files, NSFW inclusion, etc. No hosted API of any kind.",community_mcp,https://github.com/Burnsedia/sherlock-mcp,build_with_limits,No hosted API — Composio would have to run the Python CLI in its own execution environment and parse CLI output; results depend on brittle site-detection heuristics.,https://github.com/sherlock-project/sherlock; https://github.com/Burnsedia/sherlock-mcp; https://github.com/qKitNp/sherlock_mcp,high,"Recorded honestly as an OSS CLI, not a SaaS. Several community MCP wrappers exist (Burnsedia/sherlock-mcp, qKitNp/sherlock_mcp, p1atdev/sherlock-mcp); none are official. Note: fewsats/sherlock-mcp is an unrelated 'Sherlock Domains' product. A wrapped toolkit is feasible but requires self-hosting the tool and accepting slow multi-site scans and false positives/negatives.",False,
59,Waterfall.io,"Data, SEO and Scraping",waterfall.io contact/company intel,"B2B data waterfall API aggregating 30+ vendors for contact/company enrichment, email verification, phone numbers, prospecting, and job-change tracking.",API key,"API key passed in an 'x-api-key' header on every request, confirmed in the official docs at docs.waterfall.io.",unclear,"Public docs exist (docs.waterfall.io/v1/introduction) but neither the docs nor the homepage state how keys are issued; the site funnels visitors to 'Book a Call'. A third-party review claims every user gets an API key on signup, but I could not verify a self-serve signup flow from official sources.",REST,medium,"REST API at api.waterfall.io with ~13 endpoints: prospector, contact/company search, contact/company/phone enrichment, email verification, job-change detection, and account/usage reporting; mixes sync and async (webhook-result) operations.",no_mcp_found,,build_with_limits,"Credential acquisition path is unverified — marketing funnels to a demo call, and pricing/credit terms are not public.",https://docs.waterfall.io/v1/introduction; https://www.waterfall.io/; https://docs.getcargo.ai/integration/waterfall,medium,"Docs are real and reasonably complete (fetched the introduction page: REST, x-api-key, 13 endpoints, llms.txt index), which is better than expected for a thin-docs candidate. Main gaps: no public pricing, no confirmed self-serve signup, no MCP found. Cargo's integration docs reference an 'x-waterfall-api-key' header variant for their connector.",False,
60,Clay,"Data, SEO and Scraping",clay.com,GTM data enrichment and workflow platform that orchestrates 150+ data providers in spreadsheet-style tables.,API key,No general public API auth scheme is documented. Inbound webhooks support an optional auth token header; the Enterprise-only People & Company lookup API and the MCP integration are key/account-based (MCP connects via a guided login in Claude/ChatGPT connectors).,contact_sales,"Clay itself is self-serve SaaS, but per Clay's own docs/community answers it 'doesn't offer traditional API endpoints': developers get data in via self-serve webhooks and out via the in-table HTTP API action, while the direct People & Company enrichment API is restricted to Enterprise customers.",Webhook_only,narrow,Generally available surface is webhook ingestion into tables (50k submissions per webhook) plus an outbound HTTP API action from tables; a proper REST lookup API (people/company) exists only for Enterprise plans.,official_mcp,https://www.clay.com/guides/clay-mcp,needs_partner_or_paid_access,No general-purpose public API — programmatic enrichment access is gated to Enterprise; everything else is webhook-in/HTTP-out around Clay tables.,https://university.clay.com/docs/webhook-integration-guide; https://university.clay.com/docs/http-api-integration-overview; https://www.clay.com/guides/clay-mcp; https://community.clay.com/x/support/xrudiqsjem3c/what-do-i-have-to-do-to-access-clay-via-api; https://university.clay.com/docs/using-clay-as-an-api,medium,"Fetched clay.com/guides/clay-mcp: Clay has an official MCP exposing 150+ providers and workflows inside ChatGPT/Claude/Codex (500 free credits on first connect), which is arguably the sanctioned agent path in lieu of a public API. Caution: search results also surfaced an unrelated 'Clay' personal CRM (clay.earth, mcp.clay.earth, clay-inc/clay-mcp on GitHub) — do not conflate the two. Enterprise API details (auth header, endpoints) are not publicly documented.",True,Manually verified in QA sample; no corrections needed.
61,GitHub,"Developer, Infra and Data Platforms",docs.github.com/rest,"Code hosting and collaboration platform for git repositories, issues, pull requests, and CI/CD (Actions).",Personal access token; OAuth2; JWT,"REST API accepts fine-grained or classic personal access tokens, OAuth app tokens (OAuth2 authorization code flow), and GitHub App auth (app JWT to mint installation tokens, or user-to-server ghu_ tokens). All are sent as Authorization bearer/token headers.",self_serve,Any free GitHub account can create a PAT in settings instantly; OAuth apps and GitHub Apps are also self-registered from account/org settings with no approval step.,REST_and_GraphQL,broad,"REST API covers essentially the whole platform (repos, issues, PRs, Actions, orgs, users, security alerts, projects), plus a full GraphQL v4 API.",official_mcp,https://github.com/github/github-mcp-server,build_now,none,https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api; https://docs.github.com/en/authentication/keeping-your-account-and-data-secure/managing-your-personal-access-tokens; https://docs.github.com/en/apps/oauth-apps/building-oauth-apps/authenticating-to-the-rest-api-with-an-oauth-app; https://github.com/github/github-mcp-server,high,"Gold-standard integration target. Official MCP server is available both remote-hosted (api.githubcopilot.com/mcp/ with OAuth) and local via Docker. Composio-style toolkits are straightforward; only nuance is choosing between PAT, OAuth app, and GitHub App installation auth per use case.",False,
62,Vercel,"Developer, Infra and Data Platforms",vercel.com/docs/rest-api,"Frontend cloud platform for deploying and hosting web apps (Next.js et al.) with serverless functions, domains, and edge network.",Bearer token; API key,"All REST API calls to api.vercel.com authenticate with a Vercel Access Token created in account settings, sent as 'Authorization: Bearer <TOKEN>'; tokens can be scoped to specific teams. Docs also show creating auth tokens programmatically and an SSO token exchange endpoint.",self_serve,Free Hobby accounts can generate access tokens immediately from account settings (Settings > Tokens); no approval or paid plan needed for API access.,REST,broad,"REST API under api.vercel.com covers deployments, projects, domains, DNS, environment variables, teams, logs, and auth token management.",official_mcp,https://vercel.com/docs/agent-resources/vercel-mcp,build_now,none,https://vercel.com/docs/rest-api; https://vercel.com/docs/rest-api/authentication/create-an-auth-token; https://vercel.com/docs/agent-resources/vercel-mcp; https://vercel.com/changelog/vercels-mcp,high,Official hosted MCP at mcp.vercel.com is OAuth-based and was launched read-only with an allowlist of approved clients. No user-facing OAuth2 flow documented for the general REST API itself (token-based); integration/marketplace OAuth exists but was not verified here. Team-scoped resources need a teamId query param.,True,Manually verified in QA sample; no corrections needed.
63,Netlify,"Developer, Infra and Data Platforms",docs.netlify.com/api,Web hosting and deployment platform for static sites and serverless functions with build automation and edge services.,Personal access token; OAuth2; Bearer token,"The Netlify API (open-API/REST) accepts personal access tokens generated in user settings, sent as 'Authorization: Bearer <token>'. Public/third-party integrations must use OAuth2 (authorize endpoint at app.netlify.com/authorize).",self_serve,Free-tier Netlify accounts can create personal access tokens under Applications > Personal access tokens instantly; OAuth apps are also self-registered.,REST,medium,"REST API covers sites, deploys, builds, DNS/domains, environment variables, forms, and account/team management — the full hosting control plane, though narrower in scope than hyperscaler APIs.",official_mcp,https://github.com/netlify/netlify-mcp,build_now,none,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/; https://developers.netlify.com/guides/generating-personal-access-tokens-with-netlify-oauth/; https://github.com/netlify/netlify-mcp; https://docs.netlify.com/build/build-with-ai/netlify-mcp-server/,high,"Official MCP (@netlify/mcp) wraps both API and CLI capabilities (deploys, env vars, extensions). API is described by an OpenAPI spec, which makes toolkit generation easy.",False,
64,Cloudflare,"Developer, Infra and Data Platforms",developers.cloudflare.com/api,"CDN, DNS, security, and edge-compute platform (Workers, R2, KV) fronting a large share of the web.",API key; Bearer token,"Recommended auth is scoped API Tokens (user or account-owned, cfut_ prefix) sent as 'Authorization: Bearer'; the legacy Global API Key (X-Auth-Key + X-Auth-Email headers) is still supported. Origin CA keys exist for certificate endpoints.",self_serve,Free Cloudflare accounts can mint scoped API tokens from the dashboard immediately; tokens can also be created via API. No approval needed.,REST_and_GraphQL,broad,"REST API v4 spans the entire product line (~2,500+ endpoints: DNS, zones, Workers, R2, firewall, Zero Trust, etc.), plus a GraphQL Analytics API for metrics.",official_mcp,https://github.com/cloudflare/mcp-server-cloudflare,build_now,none,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/; https://developers.cloudflare.com/fundamentals/api/get-started/keys/; https://developers.cloudflare.com/api/; https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/,high,"Cloudflare runs a catalog of official managed remote MCP servers (OAuth-connected), including a Code Mode server covering the whole API, alongside the open-source repo. Huge API surface means a Composio toolkit needs deliberate endpoint curation.",False,
65,Supabase,"Developer, Infra and Data Platforms",supabase.com/docs,"Open-source Firebase alternative: hosted Postgres with auto-generated APIs, auth, storage, and edge functions.",Personal access token; OAuth2; API key; JWT,"The platform Management API (api.supabase.com) uses personal access tokens or OAuth2 (OAuth apps registered in org settings, with token refresh endpoint). Project data APIs (PostgREST) use project API keys (anon/service_role) which are JWTs, sent as bearer/apikey headers.",self_serve,Free-tier accounts generate PATs at supabase.com/dashboard/account/tokens instantly; OAuth apps are self-registered in organization settings.,REST,broad,"Management API covers projects, orgs, database config, branches, functions, and secrets; each project additionally exposes auto-generated REST (PostgREST) endpoints over its Postgres data (GraphQL also available per-project via pg_graphql).",official_mcp,https://supabase.com/docs/guides/getting-started/mcp,build_now,none,https://supabase.com/docs/reference/api/introduction; https://supabase.com/docs/guides/integrations/build-a-supabase-oauth-integration; https://supabase.com/docs/guides/getting-started/mcp; https://github.com/supabase-community/supabase-mcp,high,Official hosted MCP at mcp.supabase.com/mcp now uses OAuth with dynamic client registration (PAT no longer required). Two distinct planes to model: platform Management API vs per-project data API with project-specific URLs and keys.,False,
66,Neo4j,"Developer, Infra and Data Platforms",neo4j.com/docs/api,"Native graph database queried with Cypher, available self-managed or as the Aura managed cloud service.",Basic auth; OAuth2; Bearer token,"The Aura platform API uses OAuth2 client-credentials (client ID/secret exchanged at /oauth/token for a Bearer token). The data-plane Query API (HTTPS Cypher endpoint /db/{db}/query/v2, and the self-managed HTTP API) uses Basic auth with database username/password, with JWT support planned.",self_serve,Aura offers a self-serve free tier; API client credentials for the Aura API and database user credentials for the Query API are generated from the Aura console without approval.,REST,medium,"Aura API covers instance lifecycle/management (control plane); the Query API is essentially one HTTPS endpoint that executes arbitrary Cypher, which makes data operations broad in capability but narrow in endpoint surface.",official_mcp,https://github.com/neo4j/mcp,build_now,none,https://neo4j.com/docs/aura/platform/api/authentication/; https://neo4j.com/docs/query-api/current/authentication-authorization/; https://neo4j.com/docs/http-api/current/authentication-authorization/; https://github.com/neo4j/mcp,high,"Two clearly separate APIs: Aura management (OAuth2/Bearer) vs Query API (Basic auth, instance-specific hostname). Official MCP server exists at neo4j/mcp (Go binary, works with Aura/self-managed) plus Neo4j Labs servers at neo4j-contrib/mcp-neo4j. Data-plane tools require per-instance connection details, which complicates a generic hosted toolkit slightly.",False,
67,Snowflake,"Developer, Infra and Data Platforms",docs.snowflake.com,"Cloud data warehouse/platform for SQL analytics, data sharing, and AI (Cortex) workloads.",OAuth2; JWT; Personal access token; Bearer token,"The SQL REST API and Snowflake REST APIs authenticate with OAuth2 tokens, key-pair authentication (self-signed JWT generated from an RSA key registered to the user), or programmatic access tokens (PATs), all passed as Bearer tokens with an X-Snowflake-Authorization-Token-Type header.",trial_or_free_but_limited,"Self-serve 30-day free trial with credits; beyond that Snowflake is a paid, consumption-billed platform. Credentials (key-pair, PAT, OAuth integration) are set up by the account user/admin — no vendor approval, but you need an account with appropriate role grants.",REST,broad,"SQL API executes arbitrary SQL statements over HTTPS (account-specific endpoint), and the newer Snowflake REST APIs manage objects (databases, warehouses, users, tasks); Cortex adds AI endpoints. Capability is broad since SQL reaches everything.",official_mcp,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-agents-mcp,build_with_limits,"Paid consumption-based platform after the 30-day trial, account-specific API hostnames, and comparatively heavy credential setup (key-pair/JWT or admin-configured OAuth integration).",https://docs.snowflake.com/en/developer-guide/sql-api/authenticating; https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication; https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-agents-mcp; https://github.com/Snowflake-Labs/mcp; https://docs.snowflake.com/en/user-guide/admin-trial-account,high,"Snowflake-managed MCP server (Cortex Analyst/Search/Agents + SQL execution) went GA Nov 4, 2025 and runs inside Snowflake; Snowflake-Labs/mcp is the open-source variant. The HTTP data-plane story is real (SQL API), unlike many warehouses, but every customer has a unique account URL and PAT usage can be restricted by network policies — worth flagging for a hosted toolkit.",True,Manually verified in QA sample; no corrections needed.
